# ----------------------------------------
# 1 Master View
# Location
# 20200311-20200317
# ----------------------------------------

Country,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
United States,"3,286","2,721","4,036",35.73%,5.48,00:03:33,6,$365.15,0.15%
India,790,729,881,57.66%,2.74,00:01:29,0,$0.00,0.00%
United Kingdom,425,386,475,58.74%,2.70,00:01:36,0,$0.00,0.00%
Canada,341,290,428,39.95%,4.39,00:03:35,0,$0.00,0.00%
France,314,247,490,57.35%,2.84,00:03:10,0,$0.00,0.00%
Japan,274,252,320,49.38%,4.11,00:02:46,1,$437.70,0.31%
Spain,236,200,283,57.60%,2.60,00:02:43,0,$0.00,0.00%
Germany,227,203,262,63.74%,2.80,00:01:15,0,$0.00,0.00%
Taiwan,198,182,230,53.91%,3.20,00:02:15,0,$0.00,0.00%
China,185,182,189,88.36%,1.23,00:00:29,0,$0.00,0.00%
,"9,278","8,133","11,158",49.60%,3.92,00:02:44,9,$922.19,0.08%
